EPOCH: 256
Training: [256 / 0], d_loss: -368.087097, g_loss: 183.823563, elapsed time: 40.606094 seconds
Training: [258 / 2], d_loss: -336.445984, g_loss: 186.021698, elapsed time: 35.238843 seconds
Training: [258 / 3], d_loss: -326.303558, g_loss: 144.852478, elapsed time: 34.838215 seconds
Training: [258 / 4], d_loss: -344.015900, g_loss: 186.372818, elapsed time: 34.966301 seconds
Training: [258 / 5], d_loss: -373.790100, g_loss: 191.853287, elapsed time: 34.743411 seconds
Training: [258 / 6], d_loss: -375.645691, g_loss: 192.601440, elapsed time: 34.720028 seconds
Training: [258 / 7], d_loss: -370.726349, g_loss: 188.785995, elapsed time: 34.698513 seconds
Training: [258 / 8], d_loss: -332.097137, g_loss: 182.781311, elapsed time: 34.848184 seconds
Training: [258 / 9], d_loss: -81.625565, g_loss: 157.867065, elapsed time: 34.913676 seconds
Training: [258 / 10], d_loss: -365.655365, g_loss: 184.271790, elapsed time: 37.357227 seconds
Training: [258 / 11], d_loss: -82.350128, g_loss: 143.491364, elapsed time: 35.340817 seconds
Training: [258 / 12], d_loss: -321.141754, g_loss: 168.771118, elapsed time: 34.521333 seconds
Training: [258 / 13], d_loss: -368.806519, g_loss: 190.120026, elapsed time: 34.490820 seconds
EPOCH: 259
Training: [259 / 0], d_loss: -366.317627, g_loss: 186.931274, elapsed time: 34.589039 seconds
Training: [259 / 1], d_loss: -360.626953, g_loss: 182.510681, elapsed time: 34.669926 seconds
Training: [259 / 2], d_loss: -365.734314, g_loss: 178.878754, elapsed time: 34.656696 seconds
Training: [259 / 3], d_loss: -125.973747, g_loss: 165.271637, elapsed time: 34.587537 seconds
Training: [259 / 4], d_loss: -347.877747, g_loss: 184.790924, elapsed time: 34.262043 seconds
Training: [259 / 5], d_loss: -368.410919, g_loss: 189.250885, elapsed time: 34.396508 seconds
Training: [259 / 6], d_loss: -362.491028, g_loss: 182.866364, elapsed time: 34.428578 seconds
Training: [259 / 7], d_loss: -356.539307, g_loss: 184.448975, elapsed time: 34.334213 seconds
Training: [259 / 8], d_loss: -352.967010, g_loss: 183.592834, elapsed time: 34.346264 seconds
Training: [259 / 9], d_loss: -357.715302, g_loss: 183.898438, elapsed time: 34.494902 seconds
Training: [259 / 10], d_loss: -358.799988, g_loss: 177.705658, elapsed time: 34.415231 seconds
Training: [259 / 11], d_loss: -361.074188, g_loss: 175.669983, elapsed time: 34.335927 seconds
Training: [259 / 12], d_loss: -373.096252, g_loss: 188.797012, elapsed time: 34.205473 seconds
Training: [259 / 13], d_loss: -373.452850, g_loss: 189.969864, elapsed time: 34.232890 seconds
EPOCH: 260
Training: [260 / 0], d_loss: -372.663635, g_loss: 188.895462, elapsed time: 34.292892 seconds
Training: [260 / 1], d_loss: -332.808838, g_loss: 147.082245, elapsed time: 34.266803 seconds
Training: [260 / 2], d_loss: -121.247093, g_loss: 126.091675, elapsed time: 34.314474 seconds
Training: [260 / 3], d_loss: -290.352081, g_loss: 170.823563, elapsed time: 34.245958 seconds
Training: [260 / 4], d_loss: -330.666443, g_loss: 179.116882, elapsed time: 34.308284 seconds
Training: [260 / 5], d_loss: -367.046204, g_loss: 189.752777, elapsed time: 34.275569 seconds
Training: [260 / 6], d_loss: -372.369324, g_loss: 190.864288, elapsed time: 34.631340 seconds
Training: [260 / 7], d_loss: -365.596924, g_loss: 188.576538, elapsed time: 34.558342 seconds
Training: [260 / 8], d_loss: -258.832886, g_loss: 182.137009, elapsed time: 34.238819 seconds
Training: [260 / 9], d_loss: -362.973175, g_loss: 189.261414, elapsed time: 34.284932 seconds
Training: [260 / 10], d_loss: -370.681580, g_loss: 187.586914, elapsed time: 34.361580 seconds
Training: [260 / 11], d_loss: -365.745453, g_loss: 186.746872, elapsed time: 34.291342 seconds
Training: [260 / 12], d_loss: -360.659790, g_loss: 183.990387, elapsed time: 34.234594 seconds
Training: [260 / 13], d_loss: -133.915833, g_loss: 169.036026, elapsed time: 34.370082 seconds
EPOCH: 261
Training: [261 / 0], d_loss: -336.830414, g_loss: 171.834412, elapsed time: 34.379748 seconds
Training: [261 / 1], d_loss: -309.882050, g_loss: 182.972916, elapsed time: 34.240016 seconds
Training: [261 / 2], d_loss: -368.264465, g_loss: 189.856903, elapsed time: 34.232066 seconds
Training: [261 / 3], d_loss: -370.792267, g_loss: 189.863449, elapsed time: 34.181563 seconds
Training: [261 / 4], d_loss: -361.721130, g_loss: 185.212219, elapsed time: 34.262778 seconds
Training: [261 / 5], d_loss: -360.772888, g_loss: 180.309448, elapsed time: 35.962669 seconds
Training: [261 / 6], d_loss: -356.400635, g_loss: 185.385468, elapsed time: 34.716652 seconds
Training: [261 / 7], d_loss: -357.268585, g_loss: 181.122620, elapsed time: 34.872559 seconds
Training: [261 / 8], d_loss: -125.965973, g_loss: 169.405640, elapsed time: 34.681482 seconds
Training: [261 / 9], d_loss: -278.782562, g_loss: 130.729279, elapsed time: 34.738868 seconds
Training: [261 / 10], d_loss: -326.092102, g_loss: 183.686584, elapsed time: 34.764207 seconds
Training: [261 / 11], d_loss: -370.398224, g_loss: 190.571838, elapsed time: 34.763227 seconds
Training: [261 / 12], d_loss: -372.544189, g_loss: 190.702240, elapsed time: 34.812760 seconds
Training: [261 / 13], d_loss: -363.877380, g_loss: 185.003662, elapsed time: 34.761156 seconds
EPOCH: 262
Training: [262 / 0], d_loss: -347.712891, g_loss: 182.992859, elapsed time: 38.122556 seconds
Training: [262 / 1], d_loss: -358.247742, g_loss: 182.626587, elapsed time: 34.195616 seconds
Training: [262 / 2], d_loss: -354.921143, g_loss: 185.880920, elapsed time: 34.293703 seconds
Training: [262 / 3], d_loss: -356.963013, g_loss: 182.154892, elapsed time: 34.217831 seconds
Training: [262 / 4], d_loss: -350.099487, g_loss: 167.398834, elapsed time: 34.293875 seconds
Training: [262 / 5], d_loss: -346.286102, g_loss: 176.863556, elapsed time: 34.196103 seconds
Training: [262 / 6], d_loss: -374.145386, g_loss: 191.405182, elapsed time: 34.580008 seconds
Training: [262 / 7], d_loss: -358.672119, g_loss: 182.527130, elapsed time: 34.549170 seconds
Training: [262 / 8], d_loss: -188.324738, g_loss: 154.529297, elapsed time: 34.312707 seconds
Training: [262 / 9], d_loss: -282.242493, g_loss: 158.694885, elapsed time: 34.413223 seconds
Training: [262 / 10], d_loss: -355.381561, g_loss: 169.176575, elapsed time: 34.470807 seconds
Training: [262 / 11], d_loss: -353.930420, g_loss: 188.866226, elapsed time: 34.374755 seconds
Training: [262 / 12], d_loss: -369.613342, g_loss: 190.754791, elapsed time: 34.309140 seconds
Training: [262 / 13], d_loss: -360.380249, g_loss: 184.196960, elapsed time: 34.707257 seconds
EPOCH: 263
Training: [263 / 0], d_loss: -368.304993, g_loss: 186.743622, elapsed time: 34.420516 seconds
Training: [263 / 1], d_loss: -367.836456, g_loss: 186.542984, elapsed time: 34.526983 seconds
Training: [263 / 2], d_loss: -264.725525, g_loss: 109.127335, elapsed time: 34.231813 seconds
Training: [263 / 3], d_loss: -127.745995, g_loss: 168.320862, elapsed time: 34.388141 seconds
Training: [263 / 4], d_loss: -365.365051, g_loss: 189.384933, elapsed time: 34.379189 seconds
Training: [263 / 5], d_loss: -373.347107, g_loss: 191.080231, elapsed time: 34.353961 seconds
Training: [263 / 6], d_loss: -372.651733, g_loss: 191.552429, elapsed time: 36.773776 seconds
Training: [263 / 7], d_loss: -362.728271, g_loss: 182.807419, elapsed time: 37.476225 seconds
Training: [263 / 8], d_loss: -83.800140, g_loss: 161.138245, elapsed time: 52.735063 seconds
Training: [263 / 9], d_loss: -364.553589, g_loss: 191.159698, elapsed time: 45.477028 seconds
Training: [263 / 10], d_loss: -372.263306, g_loss: 188.885010, elapsed time: 44.294508 seconds
Training: [263 / 11], d_loss: -349.953003, g_loss: 185.219650, elapsed time: 46.796719 seconds
Training: [263 / 12], d_loss: -352.689087, g_loss: 187.044617, elapsed time: 55.271137 seconds
Training: [263 / 13], d_loss: -198.587738, g_loss: -132.785278, elapsed time: 49.948471 seconds
EPOCH: 264
Training: [264 / 0], d_loss: -252.144806, g_loss: -46.480942, elapsed time: 63.051788 seconds
Training: [264 / 1], d_loss: -284.383301, g_loss: 99.951324, elapsed time: 45.874883 seconds
Training: [264 / 2], d_loss: -298.248169, g_loss: 185.496704, elapsed time: 43.728468 seconds
Training: [264 / 3], d_loss: -371.333679, g_loss: 191.432495, elapsed time: 37.201640 seconds
Training: [264 / 4], d_loss: -374.526215, g_loss: 192.558136, elapsed time: 37.876479 seconds
Training: [264 / 5], d_loss: -376.691040, g_loss: 192.827423, elapsed time: 35.817912 seconds
Training: [264 / 6], d_loss: -368.959412, g_loss: 188.804916, elapsed time: 36.981395 seconds
Training: [264 / 7], d_loss: -364.197693, g_loss: 187.762848, elapsed time: 36.758038 seconds
Training: [264 / 8], d_loss: -370.670837, g_loss: 189.760864, elapsed time: 36.607226 seconds
Training: [264 / 9], d_loss: -371.539001, g_loss: 188.921860, elapsed time: 36.118594 seconds
Training: [264 / 10], d_loss: -119.057457, g_loss: 156.045013, elapsed time: 37.311945 seconds
Training: [264 / 11], d_loss: -346.817444, g_loss: 185.556458, elapsed time: 36.837559 seconds
Training: [264 / 12], d_loss: -372.964539, g_loss: 190.086029, elapsed time: 36.680122 seconds
Training: [264 / 13], d_loss: -367.336700, g_loss: 187.105530, elapsed time: 37.278842 seconds
EPOCH: 265
Training: [265 / 0], d_loss: -324.588898, g_loss: 185.500885, elapsed time: 37.588686 seconds
Training: [265 / 1], d_loss: -246.854767, g_loss: 55.264183, elapsed time: 118.794899 seconds
Training: [265 / 2], d_loss: -239.351181, g_loss: 15.076503, elapsed time: 52.374712 seconds
Training: [265 / 3], d_loss: -363.632355, g_loss: 189.407593, elapsed time: 44.034780 seconds
Training: [265 / 4], d_loss: -369.375427, g_loss: 188.687225, elapsed time: 42.466464 seconds
Training: [265 / 5], d_loss: -365.421814, g_loss: 187.882233, elapsed time: 58.301153 seconds
Training: [265 / 6], d_loss: -358.235565, g_loss: 187.848038, elapsed time: 42.688856 seconds
Training: [265 / 7], d_loss: -369.654846, g_loss: 189.015900, elapsed time: 42.617797 seconds
Training: [265 / 8], d_loss: -366.790466, g_loss: 188.324158, elapsed time: 38.691895 seconds
Training: [265 / 9], d_loss: -42.239914, g_loss: 99.077408, elapsed time: 37.355724 seconds
Training: [265 / 10], d_loss: -174.250183, g_loss: 11.756067, elapsed time: 40.442773 seconds
Training: [265 / 11], d_loss: -356.066559, g_loss: 187.479797, elapsed time: 45.854177 seconds
Training: [265 / 12], d_loss: -361.012054, g_loss: 185.999435, elapsed time: 46.872217 seconds
Training: [265 / 13], d_loss: -368.559448, g_loss: 188.803268, elapsed time: 46.569784 seconds
EPOCH: 266
Training: [266 / 0], d_loss: -143.982864, g_loss: 175.194153, elapsed time: 40.276452 seconds
Training: [266 / 1], d_loss: -315.451233, g_loss: 174.752838, elapsed time: 36.198415 seconds
Training: [266 / 2], d_loss: -352.208405, g_loss: 189.223724, elapsed time: 36.260898 seconds
Training: [266 / 3], d_loss: -374.052185, g_loss: 191.806610, elapsed time: 36.538944 seconds
Training: [266 / 4], d_loss: -370.480347, g_loss: 188.806763, elapsed time: 35.930226 seconds
Training: [266 / 5], d_loss: -358.856079, g_loss: 182.466400, elapsed time: 36.836386 seconds
Training: [266 / 6], d_loss: -245.159668, g_loss: 178.386902, elapsed time: 36.090377 seconds
Training: [266 / 7], d_loss: -253.959473, g_loss: 27.411369, elapsed time: 37.832156 seconds
Training: [266 / 8], d_loss: -361.610718, g_loss: 188.361664, elapsed time: 39.425586 seconds
Training: [266 / 9], d_loss: -374.664673, g_loss: 192.574829, elapsed time: 35.601689 seconds
Training: [266 / 10], d_loss: -368.737579, g_loss: 189.003815, elapsed time: 35.419194 seconds
Training: [266 / 11], d_loss: -362.163391, g_loss: 187.213745, elapsed time: 35.374209 seconds
Training: [266 / 12], d_loss: -353.793335, g_loss: 141.886261, elapsed time: 35.381596 seconds
Training: [266 / 13], d_loss: -261.340149, g_loss: 182.621811, elapsed time: 35.254356 seconds
EPOCH: 267
Training: [267 / 0], d_loss: -358.479889, g_loss: 189.200150, elapsed time: 35.414172 seconds
Training: [267 / 1], d_loss: -373.498352, g_loss: 191.936829, elapsed time: 35.138655 seconds
Training: [267 / 2], d_loss: -368.501770, g_loss: 187.997467, elapsed time: 35.184983 seconds
Training: [267 / 3], d_loss: -362.647888, g_loss: 185.605255, elapsed time: 38.521035 seconds
Training: [267 / 4], d_loss: -320.246796, g_loss: 185.099335, elapsed time: 34.711182 seconds
Training: [267 / 5], d_loss: -292.376160, g_loss: 2.732606, elapsed time: 35.044808 seconds
Training: [267 / 6], d_loss: -338.608673, g_loss: 138.800354, elapsed time: 35.694772 seconds
Training: [267 / 7], d_loss: -330.764099, g_loss: 187.915665, elapsed time: 35.929371 seconds
Training: [267 / 8], d_loss: -372.567688, g_loss: 191.631134, elapsed time: 47.608151 seconds
Training: [267 / 9], d_loss: -374.009155, g_loss: 191.318588, elapsed time: 47.533674 seconds
Training: [267 / 10], d_loss: -366.321045, g_loss: 187.270691, elapsed time: 46.606398 seconds
Training: [267 / 11], d_loss: -360.912659, g_loss: 183.445770, elapsed time: 44.295599 seconds
Training: [267 / 12], d_loss: -186.021942, g_loss: 159.903076, elapsed time: 45.071153 seconds
Training: [267 / 13], d_loss: -318.219910, g_loss: 177.066910, elapsed time: 43.711816 seconds
EPOCH: 268
Training: [268 / 0], d_loss: -370.466064, g_loss: 190.711639, elapsed time: 43.515547 seconds
Training: [268 / 1], d_loss: -367.227356, g_loss: 186.388855, elapsed time: 43.558346 seconds
Training: [268 / 2], d_loss: -361.764954, g_loss: 183.941986, elapsed time: 45.670250 seconds
Training: [268 / 3], d_loss: -355.702850, g_loss: 184.198517, elapsed time: 45.157005 seconds
Training: [268 / 4], d_loss: -355.356567, g_loss: 179.012848, elapsed time: 44.792718 seconds
Training: [268 / 5], d_loss: -48.723541, g_loss: 147.100708, elapsed time: 45.666242 seconds
Training: [268 / 6], d_loss: -105.103447, g_loss: 99.120918, elapsed time: 45.129798 seconds
Training: [268 / 7], d_loss: -349.730591, g_loss: 187.256653, elapsed time: 44.708909 seconds
Training: [268 / 8], d_loss: -372.407928, g_loss: 191.557983, elapsed time: 44.312326 seconds
Training: [268 / 9], d_loss: -369.076874, g_loss: 189.035233, elapsed time: 43.927049 seconds
Training: [268 / 10], d_loss: -367.502533, g_loss: 187.030640, elapsed time: 43.910963 seconds
Training: [268 / 11], d_loss: -360.604919, g_loss: 187.109482, elapsed time: 43.900081 seconds
Training: [268 / 12], d_loss: -307.243805, g_loss: 2.042248, elapsed time: 43.810302 seconds
Training: [268 / 13], d_loss: -307.267456, g_loss: 185.550201, elapsed time: 43.972471 seconds
EPOCH: 269
Training: [269 / 0], d_loss: -374.151215, g_loss: 192.539978, elapsed time: 44.858247 seconds
Training: [269 / 1], d_loss: -377.108398, g_loss: 193.197464, elapsed time: 45.420000 seconds
Training: [269 / 2], d_loss: -370.947571, g_loss: 187.337677, elapsed time: 45.059591 seconds
Training: [269 / 3], d_loss: -365.890961, g_loss: 188.635986, elapsed time: 44.229570 seconds
Training: [269 / 4], d_loss: -364.157837, g_loss: 186.097946, elapsed time: 44.558371 seconds
Training: [269 / 5], d_loss: -191.729126, g_loss: -3.862655, elapsed time: 44.946898 seconds
Training: [269 / 6], d_loss: -97.093956, g_loss: 160.777664, elapsed time: 44.249234 seconds
Training: [269 / 7], d_loss: -368.697449, g_loss: 189.927460, elapsed time: 43.920698 seconds
Training: [269 / 8], d_loss: -368.585815, g_loss: 187.713882, elapsed time: 44.221614 seconds
Training: [269 / 9], d_loss: -364.693604, g_loss: 188.819534, elapsed time: 45.161942 seconds
Training: [269 / 10], d_loss: -366.217926, g_loss: 186.928131, elapsed time: 45.035270 seconds
Training: [269 / 11], d_loss: -21.081848, g_loss: -89.604141, elapsed time: 44.543205 seconds
Training: [269 / 12], d_loss: -323.166565, g_loss: 164.436218, elapsed time: 44.089580 seconds
Training: [269 / 13], d_loss: -138.744736, g_loss: 171.040070, elapsed time: 46.467746 seconds
EPOCH: 270
Training: [270 / 0], d_loss: -264.896301, g_loss: 87.854126, elapsed time: 44.415412 seconds
Training: [270 / 1], d_loss: -361.133728, g_loss: 188.136475, elapsed time: 43.815233 seconds
Training: [270 / 2], d_loss: -371.230530, g_loss: 191.045441, elapsed time: 44.048968 seconds
Training: [270 / 3], d_loss: -366.809662, g_loss: 186.480408, elapsed time: 44.686372 seconds
Training: [270 / 4], d_loss: -366.451172, g_loss: 188.340149, elapsed time: 47.135489 seconds
Training: [270 / 5], d_loss: -367.904999, g_loss: 186.796005, elapsed time: 48.162720 seconds
Training: [270 / 6], d_loss: -348.516937, g_loss: 174.904663, elapsed time: 45.068327 seconds
Training: [270 / 7], d_loss: -136.692841, g_loss: 176.469086, elapsed time: 46.666235 seconds
Training: [270 / 8], d_loss: -363.583618, g_loss: 188.701874, elapsed time: 44.441751 seconds
Training: [270 / 9], d_loss: -371.250671, g_loss: 190.644806, elapsed time: 38.846569 seconds
Training: [270 / 10], d_loss: -367.113525, g_loss: 187.864227, elapsed time: 37.210243 seconds
Training: [270 / 11], d_loss: -361.615234, g_loss: 183.150757, elapsed time: 38.091951 seconds
Training: [270 / 12], d_loss: -57.351654, g_loss: 131.025696, elapsed time: 35.784292 seconds
Training: [270 / 13], d_loss: -35.384079, g_loss: 97.734116, elapsed time: 35.873425 seconds
EPOCH: 271
Training: [271 / 0], d_loss: -287.787170, g_loss: 185.427841, elapsed time: 36.210384 seconds
Training: [271 / 1], d_loss: -328.308716, g_loss: 178.286743, elapsed time: 35.067821 seconds
Training: [271 / 2], d_loss: -367.697693, g_loss: 189.746338, elapsed time: 35.284622 seconds
Training: [271 / 3], d_loss: -371.071350, g_loss: 190.759735, elapsed time: 35.910055 seconds
Training: [271 / 4], d_loss: -361.995056, g_loss: 183.309921, elapsed time: 36.836179 seconds
Training: [271 / 5], d_loss: -355.277344, g_loss: 179.397018, elapsed time: 35.416059 seconds
Training: [271 / 6], d_loss: -127.459297, g_loss: 167.413422, elapsed time: 35.631419 seconds
Training: [271 / 7], d_loss: -355.633087, g_loss: 185.474792, elapsed time: 35.203735 seconds
Training: [271 / 8], d_loss: -368.799316, g_loss: 189.473389, elapsed time: 36.792707 seconds
Training: [271 / 9], d_loss: -347.915771, g_loss: 173.251938, elapsed time: 36.175785 seconds
Training: [271 / 10], d_loss: -193.745407, g_loss: 174.964111, elapsed time: 36.005625 seconds
Training: [271 / 11], d_loss: -368.238281, g_loss: 189.960220, elapsed time: 35.591188 seconds
Training: [271 / 12], d_loss: -367.512024, g_loss: 179.061188, elapsed time: 36.485666 seconds
Training: [271 / 13], d_loss: -362.509644, g_loss: 183.659592, elapsed time: 34.573030 seconds
EPOCH: 272
Training: [272 / 0], d_loss: -374.041321, g_loss: 190.111267, elapsed time: 34.551514 seconds
Training: [272 / 1], d_loss: -370.926392, g_loss: 189.288940, elapsed time: 34.689354 seconds
Training: [272 / 2], d_loss: -368.951721, g_loss: 187.868195, elapsed time: 34.545542 seconds
Training: [272 / 3], d_loss: -331.929199, g_loss: 183.547516, elapsed time: 35.141867 seconds
Training: [272 / 4], d_loss: -114.756493, g_loss: 48.744820, elapsed time: 34.717628 seconds
Training: [272 / 5], d_loss: -358.344177, g_loss: 188.571014, elapsed time: 36.122277 seconds
Training: [272 / 6], d_loss: -370.559479, g_loss: 189.741486, elapsed time: 37.195260 seconds
Training: [272 / 7], d_loss: -359.613525, g_loss: 186.176056, elapsed time: 37.218244 seconds
Training: [272 / 8], d_loss: -349.396851, g_loss: 180.609650, elapsed time: 35.036296 seconds
Training: [272 / 9], d_loss: -27.919983, g_loss: 137.994324, elapsed time: 34.633845 seconds
Training: [272 / 10], d_loss: -65.828339, g_loss: 130.325882, elapsed time: 34.603241 seconds
Training: [272 / 11], d_loss: -235.565247, g_loss: 180.913223, elapsed time: 34.565859 seconds
Training: [272 / 12], d_loss: -366.905823, g_loss: 189.746109, elapsed time: 34.611139 seconds
Training: [272 / 13], d_loss: -372.691284, g_loss: 191.496048, elapsed time: 35.839376 seconds
EPOCH: 273
Training: [273 / 0], d_loss: -369.297333, g_loss: 186.474640, elapsed time: 38.629866 seconds
Training: [273 / 1], d_loss: -362.636658, g_loss: 187.160889, elapsed time: 39.300019 seconds
Training: [273 / 2], d_loss: -361.387115, g_loss: 185.272293, elapsed time: 38.422285 seconds
Training: [273 / 3], d_loss: -160.099869, g_loss: 173.634491, elapsed time: 35.673303 seconds
Training: [273 / 4], d_loss: -224.643982, g_loss: 59.559078, elapsed time: 35.397972 seconds
Training: [273 / 5], d_loss: -358.289856, g_loss: 187.428070, elapsed time: 34.782185 seconds
Training: [273 / 6], d_loss: -371.780762, g_loss: 190.987061, elapsed time: 34.938856 seconds
Training: [273 / 7], d_loss: -369.509613, g_loss: 189.723999, elapsed time: 34.716297 seconds
Training: [273 / 8], d_loss: -360.439484, g_loss: 181.519562, elapsed time: 34.908330 seconds
Training: [273 / 9], d_loss: -248.421341, g_loss: 178.055450, elapsed time: 34.728844 seconds
Training: [273 / 10], d_loss: -200.439285, g_loss: -15.443440, elapsed time: 34.826507 seconds
Training: [273 / 11], d_loss: -257.661102, g_loss: 179.494598, elapsed time: 34.673066 seconds
Training: [273 / 12], d_loss: -368.620148, g_loss: 191.155396, elapsed time: 34.766747 seconds
Training: [273 / 13], d_loss: -373.809021, g_loss: 192.239822, elapsed time: 39.396123 seconds
EPOCH: 274
Training: [274 / 0], d_loss: -374.374817, g_loss: 191.187164, elapsed time: 34.111416 seconds
Training: [274 / 1], d_loss: -363.734283, g_loss: 184.916840, elapsed time: 34.011028 seconds
Training: [274 / 2], d_loss: -247.060532, g_loss: 178.772583, elapsed time: 34.165915 seconds
Training: [274 / 3], d_loss: -300.270111, g_loss: 142.760971, elapsed time: 33.992975 seconds
Training: [274 / 4], d_loss: -324.335693, g_loss: 181.770966, elapsed time: 33.996524 seconds
Training: [274 / 5], d_loss: -368.971497, g_loss: 190.056335, elapsed time: 34.027709 seconds
Training: [274 / 6], d_loss: -368.043640, g_loss: 188.836945, elapsed time: 33.969292 seconds
Training: [274 / 7], d_loss: -358.857117, g_loss: 180.745178, elapsed time: 34.081863 seconds
Training: [274 / 8], d_loss: -363.419830, g_loss: 187.642578, elapsed time: 34.138736 seconds
Training: [274 / 9], d_loss: -360.408142, g_loss: 185.977936, elapsed time: 34.033948 seconds
Training: [274 / 10], d_loss: -362.358337, g_loss: 186.188843, elapsed time: 34.140405 seconds
Training: [274 / 11], d_loss: -356.621368, g_loss: 186.230316, elapsed time: 34.128556 seconds
Training: [274 / 12], d_loss: -213.744904, g_loss: 175.456024, elapsed time: 34.108820 seconds
Training: [274 / 13], d_loss: -342.582947, g_loss: 184.629364, elapsed time: 34.216351 seconds
EPOCH: 275
Training: [275 / 0], d_loss: -369.536407, g_loss: 189.694000, elapsed time: 34.461227 seconds
Training: [275 / 1], d_loss: -354.613007, g_loss: 186.667480, elapsed time: 34.103043 seconds
Training: [275 / 2], d_loss: -83.465057, g_loss: 34.670181, elapsed time: 34.141985 seconds
Training: [275 / 3], d_loss: -364.813538, g_loss: 189.225311, elapsed time: 34.051605 seconds
Training: [275 / 4], d_loss: -369.747467, g_loss: 190.550522, elapsed time: 34.248310 seconds
Training: [275 / 5], d_loss: -372.013702, g_loss: 190.084122, elapsed time: 34.057430 seconds
Training: [275 / 6], d_loss: -359.958801, g_loss: 185.158478, elapsed time: 34.046128 seconds
Training: [275 / 7], d_loss: -57.146484, g_loss: 160.014725, elapsed time: 34.015964 seconds
Training: [275 / 8], d_loss: -319.076233, g_loss: 162.565475, elapsed time: 34.028728 seconds
Training: [275 / 9], d_loss: -312.587311, g_loss: 184.539597, elapsed time: 34.105139 seconds
Training: [275 / 10], d_loss: -370.700256, g_loss: 191.292542, elapsed time: 34.029513 seconds
Training: [275 / 11], d_loss: -372.588745, g_loss: 190.495911, elapsed time: 34.059058 seconds
Training: [275 / 12], d_loss: -361.989441, g_loss: 186.378815, elapsed time: 33.978359 seconds
Training: [275 / 13], d_loss: -366.438782, g_loss: 185.573425, elapsed time: 34.101388 seconds
EPOCH: 276
Training: [276 / 0], d_loss: -130.803452, g_loss: 142.030426, elapsed time: 34.176076 seconds
Training: [276 / 1], d_loss: -211.384232, g_loss: 114.221481, elapsed time: 34.075836 seconds
Training: [276 / 2], d_loss: -255.623260, g_loss: 183.601318, elapsed time: 34.082019 seconds
Training: [276 / 3], d_loss: -368.546234, g_loss: 190.179535, elapsed time: 34.336362 seconds
Training: [276 / 4], d_loss: -372.378876, g_loss: 191.370361, elapsed time: 34.195929 seconds
Training: [276 / 5], d_loss: -370.648804, g_loss: 184.951355, elapsed time: 34.183871 seconds
